queue_no,registry_key,title,document_type,language,authority_level,domain_scope,source_type,summary,content_text,category,source_url,author,year,review_bucket,planned_import_stage,tags
31,e95149209661,مجلة الأحكام العدلية - المادة 1: تعريف الوقف,fiqh_reference,ar,official,fiqh,manual,"المادة الأولى: الوقف هو حبس العين عن تمليكها لأحد من العباد، والتصدق بالمنفعة على الفقراء أو على وجه من وجوه الخير.

شرح التعريف:
- حبس العين: منع بيعها أو هبتها أو توريثها
- عن تمليكها: لا تصبح ملكاً لأحد بعد الوقف
- التصدق بالمنفعة: الانتفاع بريع الوقف يكون للجهة الموقوف عليها

أركان الوقف:
1. الواقف: من يقوم بالوقف
2. الموقوف: العين التي يتم وقفها
3. الموقوف عليه: الجهة المستفيدة من الوقف
4. الصيغة: لفظ الوقف الصريح

شروط الواقف:
- أن يكون بالغاً عاقلاً
- أن يكون مالكاً للعين الموقوفة
- أن يكون مختاراً غير مكره","العنوان: مجلة الأحكام العدلية - المادة 1: تعريف الوقف
المصدر: مجلة الأحكام العدلية - كتاب الوقف
ملخص/مقتطف مسترد: المادة الأولى: الوقف هو حبس العين عن تمليكها لأحد من العباد، والتصدق بالمنفعة على الفقراء أو على وجه من وجوه الخير.

شرح التعريف:
- حبس العين: منع بيعها أو هبتها أو توريثها
- عن تمليكها: لا تصبح ملكاً لأحد بعد الوقف
- التصدق بالمنفعة: الانتفاع بريع الوقف يكون للجهة الموقوف عليها

أركان الوقف:
1. الواقف: من يقوم بالوقف
2. الموقوف: العين التي يتم وقفها
3. الموقوف عليه: الجهة المستفيدة من الوقف
4. الصيغة: لفظ الوقف الصريح

شروط الواقف:
- أن يكون بالغاً عاقلاً
- أن يكون مالكاً للعين الموقوفة
- أن يكون مختاراً غير مكره",jurisprudence,مجلة الأحكام العدلية - كتاب الوقف,,,P2_FIQH_AUTHORITY_REVIEW,stage_02_reference_documents_in_review_after_p1,jurisprudence;fiqh;P2_FIQH_AUTHORITY_REVIEW;old_db_recovered;kb05
32,836e2d73bd8e,مجلة الأحكام العدلية - المادة 5: شروط صحة الوقف,fiqh_reference,ar,official,fiqh,manual,"المادة الخامسة: يشترط لصحة الوقف:

1. أن يكون الموقوف مالاً متقوماً: أي له قيمة مالية شرعاً
2. أن يكون معلوماً: محدداً بالوصف أو المشاهدة
3. أن يكون مملوكاً للواقف: ملكية تامة صحيحة
4. أن يكون قابلاً للانتفاع مع بقاء عينه: كالعقار والأثاث
5. أن يكون الوقف مؤبداً: لا يجوز توقيته بمدة معينة
6. أن تكون الجهة الموقوف عليها معلومة: محددة بوضوح
7. أن تكون الجهة الموقوف عليها جهة بر: لا تكون معصية

الأموال التي لا يصح وقفها:
- المنقولات التي تستهلك بالاستعمال (كالطعام)
- الأموال المغصوبة أو المسروقة
- الأموال المجهولة أو غير المحددة","العنوان: مجلة الأحكام العدلية - المادة 5: شروط صحة الوقف
المصدر: مجلة الأحكام العدلية - كتاب الوقف
ملخص/مقتطف مسترد: المادة الخامسة: يشترط لصحة الوقف:

1. أن يكون الموقوف مالاً متقوماً: أي له قيمة مالية شرعاً
2. أن يكون معلوماً: محدداً بالوصف أو المشاهدة
3. أن يكون مملوكاً للواقف: ملكية تامة صحيحة
4. أن يكون قابلاً للانتفاع مع بقاء عينه: كالعقار والأثاث
5. أن يكون الوقف مؤبداً: لا يجوز توقيته بمدة معينة
6. أن تكون الجهة الموقوف عليها معلومة: محددة بوضوح
7. أن تكون الجهة الموقوف عليها جهة بر: لا تكون معصية

الأموال التي لا يصح وقفها:
- المنقولات التي تستهلك بالاستعمال (كالطعام)
- الأموال المغصوبة أو المسروقة
- الأموال المجهولة أو غير المحددة",jurisprudence,مجلة الأحكام العدلية - كتاب الوقف,,,P2_FIQH_AUTHORITY_REVIEW,stage_02_reference_documents_in_review_after_p1,jurisprudence;fiqh;P2_FIQH_AUTHORITY_REVIEW;old_db_recovered;kb05
33,0981042d3af2,المجلة العدلية (مجلة الأحكام العدلية),legal_reference,ar,official,waqf_law,manual,"المجلة العدلية أو 'مجلة الأحكام العدلية' هي أول تقنين للفقه الإسلامي (المذهب الحنفي) في العصر الحديث. صدرت في الدولة العثمانية عام 1293هـ/1876م، وتتكون من 1851 مادة قانونية موزعة على 16 كتاباً.

تغطي المجلة العدلية المعاملات المدنية والتجارية في الفقه الإسلامي، وتشمل: البيوع، الإجارة، الكفالة، الحوالة، الرهن، الأمانات، الهبة، الغصب، الإتلاف، الحجر، الإكراه، الشفعة، الشركة، الوكالة، الصلح، الإقرار، والدعوى والبينات.

في مجال الأوقاف، تتضمن المجلة العدلية أحكاماً مهمة في عدة كتب، خاصة في كتاب الإجارة (حيث يُعامل استئجار الوقف)، وكتاب الهبة (حيث يُقارن الوقف بالهبة)، وكتاب الغصب (حيث تُعالج مسألة","العنوان: المجلة العدلية (مجلة الأحكام العدلية)
المؤلف/الجهة: لجنة من فقهاء الدولة العثمانية
السنة: 1876
ملخص/مقتطف مسترد: المجلة العدلية أو 'مجلة الأحكام العدلية' هي أول تقنين للفقه الإسلامي (المذهب الحنفي) في العصر الحديث. صدرت في الدولة العثمانية عام 1293هـ/1876م، وتتكون من 1851 مادة قانونية موزعة على 16 كتاباً.

تغطي المجلة العدلية المعاملات المدنية والتجارية في الفقه الإسلامي، وتشمل: البيوع، الإجارة، الكفالة، الحوالة، الرهن، الأمانات، الهبة، الغصب، الإتلاف، الحجر، الإكراه، الشفعة، الشركة، الوكالة، الصلح، الإقرار، والدعوى والبينات.

في مجال الأوقاف، تتضمن المجلة العدلية أحكاماً مهمة في عدة كتب، خاصة في كتاب الإجارة (حيث يُعامل استئجار الوقف)، وكتاب الهبة (حيث يُقارن الوقف بالهبة)، وكتاب الغصب (حيث تُعالج مسألة",law,,لجنة من فقهاء الدولة العثمانية,1876,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
34,a76fa00d7416,قانون أملاك الغائبين - الأوقاف,legal_reference,ar,official,waqf_law,manual,استولت إسرائيل على العديد من الأوقاف الإسلامية بحجة أنها أملاك غائبين، رغم أن الوقف لا يملكه شخص معين.,"العنوان: قانون أملاك الغائبين - الأوقاف
المصدر: قانون أملاك الغائبين الإسرائيلي (1950)
ملخص/مقتطف مسترد: استولت إسرائيل على العديد من الأوقاف الإسلامية بحجة أنها أملاك غائبين، رغم أن الوقف لا يملكه شخص معين.",law,قانون أملاك الغائبين الإسرائيلي (1950),,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
35,9f09c4db023e,قانون أملاك الغائبين الإسرائيلي 1950 - التعريف,legal_reference,ar,official,waqf_law,manual,يعرف القانون الإسرائيلي 'الغائب' بأنه كل من ترك مكان إقامته في فلسطين قبل 1948 أو بعده، وتم الاستيلاء على أملاكه.,"العنوان: قانون أملاك الغائبين الإسرائيلي 1950 - التعريف
المصدر: قانون أملاك الغائبين الإسرائيلي (1950)
ملخص/مقتطف مسترد: يعرف القانون الإسرائيلي 'الغائب' بأنه كل من ترك مكان إقامته في فلسطين قبل 1948 أو بعده، وتم الاستيلاء على أملاكه.",law,قانون أملاك الغائبين الإسرائيلي (1950),,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
36,649190f4d4c0,قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية,legal_reference,ar,official,waqf_law,manual,"المادة الثانية عشرة: يجوز وقف حق التصرف في الأراضي الأميرية بإذن من السلطان أو من ينوب عنه.

شروط وقف الأراضي الأميرية:
1. الحصول على إذن رسمي من الدولة (الإرادة السنية)
2. تسجيل الوقف في السجلات الرسمية
3. تحديد جهة الوقف (خيري أو ذري)
4. تعيين ناظر للوقف
5. استمرار دفع الضرائب المقررة (الميري) من ريع الوقف

أحكام خاصة:
- إذا لم يُدفع الميري من ريع الوقف، يحق للدولة المطالبة به من ناظر الوقف
- لا يجوز بيع الأرض الموقوفة إلا في حالات الاستبدال الشرعي
- يجوز تأجير الأرض الموقوفة بعقد إجارة طويلة (حكر)","العنوان: قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية
المصدر: قانون الأراضي العثماني 1858
ملخص/مقتطف مسترد: المادة الثانية عشرة: يجوز وقف حق التصرف في الأراضي الأميرية بإذن من السلطان أو من ينوب عنه.

شروط وقف الأراضي الأميرية:
1. الحصول على إذن رسمي من الدولة (الإرادة السنية)
2. تسجيل الوقف في السجلات الرسمية
3. تحديد جهة الوقف (خيري أو ذري)
4. تعيين ناظر للوقف
5. استمرار دفع الضرائب المقررة (الميري) من ريع الوقف

أحكام خاصة:
- إذا لم يُدفع الميري من ريع الوقف، يحق للدولة المطالبة به من ناظر الوقف
- لا يجوز بيع الأرض الموقوفة إلا في حالات الاستبدال الشرعي
- يجوز تأجير الأرض الموقوفة بعقد إجارة طويلة (حكر)",law,قانون الأراضي العثماني 1858,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
37,aaff1561c5bd,قانون الأراضي العثماني - المادة 1: تعريف الأراضي,legal_reference,ar,official,waqf_law,seeded,المادة الأولى: الأراضي على خمسة أقسام...,"العنوان: قانون الأراضي العثماني - المادة 1: تعريف الأراضي
المصدر: قانون الأراضي العثماني 1858
ملخص/مقتطف مسترد: المادة الأولى: الأراضي على خمسة أقسام...",law,قانون الأراضي العثماني 1858,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
38,ddac895907fd,قانون الأراضي العثماني - المادة 36: حقوق المتولي,legal_reference,ar,official,waqf_law,manual,للمتولي على الوقف حق الإدارة والنظر في شؤونه، وله أن يؤجر الأرض الموقوفة بما يحقق مصلحة الوقف، ولا يجوز له التصرف فيها بالبيع أو الرهن.,"العنوان: قانون الأراضي العثماني - المادة 36: حقوق المتولي
المصدر: قانون الأراضي العثماني (1858)
ملخص/مقتطف مسترد: للمتولي على الوقف حق الإدارة والنظر في شؤونه، وله أن يؤجر الأرض الموقوفة بما يحقق مصلحة الوقف، ولا يجوز له التصرف فيها بالبيع أو الرهن.",law,قانون الأراضي العثماني (1858),,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
39,5cc368c7b44a,قانون الأراضي العثماني - المادة 3: الأراضي الأميرية,legal_reference,ar,official,waqf_law,manual,"المادة الثالثة: الأراضي الأميرية هي الأراضي التي رقبتها للدولة، وللأفراد حق التصرف فيها فقط.

شروط التصرف في الأراضي الأميرية:
1. يجب دفع الضرائب المقررة (الميري) سنوياً للدولة
2. يجب زراعة الأرض وعدم تركها بوراً لمدة تزيد عن ثلاث سنوات
3. لا يجوز بيع رقبة الأرض، وإنما يباع حق التصرف فقط
4. يجوز توريث حق التصرف للورثة الشرعيين
5. يجوز وقف حق التصرف بإذن من الدولة

عقوبة ترك الأرض بوراً:
إذا ترك صاحب حق التصرف الأرض بوراً لمدة ثلاث سنوات متتالية دون عذر شرعي، يسقط حقه في التصرف، وتعود الأرض للدولة لتمنحها لمن يعمرها.","العنوان: قانون الأراضي العثماني - المادة 3: الأراضي الأميرية
المصدر: قانون الأراضي العثماني 1858
ملخص/مقتطف مسترد: المادة الثالثة: الأراضي الأميرية هي الأراضي التي رقبتها للدولة، وللأفراد حق التصرف فيها فقط.

شروط التصرف في الأراضي الأميرية:
1. يجب دفع الضرائب المقررة (الميري) سنوياً للدولة
2. يجب زراعة الأرض وعدم تركها بوراً لمدة تزيد عن ثلاث سنوات
3. لا يجوز بيع رقبة الأرض، وإنما يباع حق التصرف فقط
4. يجوز توريث حق التصرف للورثة الشرعيين
5. يجوز وقف حق التصرف بإذن من الدولة

عقوبة ترك الأرض بوراً:
إذا ترك صاحب حق التصرف الأرض بوراً لمدة ثلاث سنوات متتالية دون عذر شرعي، يسقط حقه في التصرف، وتعود الأرض للدولة لتمنحها لمن يعمرها.",law,قانون الأراضي العثماني 1858,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
40,591280092bfb,قانون الأراضي العثماني - المادة 4: الأراضي الموقوفة,legal_reference,ar,official,waqf_law,manual,الأراضي الموقوفة هي الأراضي التي أوقفها أصحابها على جهة بر أو خير. ولا يجوز بيعها أو رهنها أو توريثها، وإنما تبقى على ملك الموقوف عليهم أو الجهة الموقوف عليها.,"العنوان: قانون الأراضي العثماني - المادة 4: الأراضي الموقوفة
المصدر: قانون الأراضي العثماني (1858)
ملخص/مقتطف مسترد: الأراضي الموقوفة هي الأراضي التي أوقفها أصحابها على جهة بر أو خير. ولا يجوز بيعها أو رهنها أو توريثها، وإنما تبقى على ملك الموقوف عليهم أو الجهة الموقوف عليها.",law,قانون الأراضي العثماني (1858),,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
41,eccc9553368d,قانون الأراضي العثماني 1858,legal_reference,ar,official,waqf_law,external_fetch,"قانون الأراضي العثماني الصادر عام 1858 (1274 هجري) هو القانون الأساسي الذي ينظم ملكية الأراضي في فلسطين. لا يزال ساري النفاذ في الضفة الغربية وغزة.

تقسيم الأراضي (المادة 1):
1. الأراضي المملوكة: المحلات الحاصل التصرف بها على وجه الملكية
2. الأراضي الأميرية: الأراضي التابعة لبيت المال
3. الأراضي الموقوفة: الأراضي الموقوفة وفقاً للشرع
4. الأراضي المتروكة: المخصصة لعموم الناس أو أهالي القرى
5. الأراضي الموات: الأراضي الخالية البعيدة عن العمران

الأراضي الموقوفة (المادة 4):
القسم الأول: الأراضي التي كانت من الأراضي المملوكة صحيحاً وأوقفت وفقاً للشرع الشريف. رقبتها وجميع حقوق التصرف بها عائدة إلى","العنوان: قانون الأراضي العثماني 1858
المصدر: https://maqam.najah.edu/legislation/169/
ملخص/مقتطف مسترد: قانون الأراضي العثماني الصادر عام 1858 (1274 هجري) هو القانون الأساسي الذي ينظم ملكية الأراضي في فلسطين. لا يزال ساري النفاذ في الضفة الغربية وغزة.

تقسيم الأراضي (المادة 1):
1. الأراضي المملوكة: المحلات الحاصل التصرف بها على وجه الملكية
2. الأراضي الأميرية: الأراضي التابعة لبيت المال
3. الأراضي الموقوفة: الأراضي الموقوفة وفقاً للشرع
4. الأراضي المتروكة: المخصصة لعموم الناس أو أهالي القرى
5. الأراضي الموات: الأراضي الخالية البعيدة عن العمران

الأراضي الموقوفة (المادة 4):
القسم الأول: الأراضي التي كانت من الأراضي المملوكة صحيحاً وأوقفت وفقاً للشرع الشريف. رقبتها وجميع حقوق التصرف بها عائدة إلى",law,https://maqam.najah.edu/legislation/169/,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
42,0d681b5ebc1c,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,legal_reference,ar,official,waqf_law,manual,"المادة 10: تتولى وزارة الأوقاف إدارة الأوقاف الخيرية والإشراف على الأوقاف الذرية.

صلاحيات الوزارة:
1. إدارة الأوقاف الخيرية واستثمارها
2. تعيين النظار والمتولين
3. الإشراف على صرف ريع الأوقاف
4. صيانة الأوقاف وعمارتها
5. استبدال الأوقاف عند الضرورة
6. رفع الدعاوى القضائية المتعلقة بالأوقاف
7. قبول الأوقاف الجديدة

واجبات الناظر:
- المحافظة على الوقف وعمارته
- استثمار الوقف بالطرق الشرعية
- صرف الريع على الجهات المستحقة
- تقديم حساب سنوي للوزارة
- عدم التصرف في الوقف إلا بإذن من الوزارة","العنوان: قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: المادة 10: تتولى وزارة الأوقاف إدارة الأوقاف الخيرية والإشراف على الأوقاف الذرية.

صلاحيات الوزارة:
1. إدارة الأوقاف الخيرية واستثمارها
2. تعيين النظار والمتولين
3. الإشراف على صرف ريع الأوقاف
4. صيانة الأوقاف وعمارتها
5. استبدال الأوقاف عند الضرورة
6. رفع الدعاوى القضائية المتعلقة بالأوقاف
7. قبول الأوقاف الجديدة

واجبات الناظر:
- المحافظة على الوقف وعمارته
- استثمار الوقف بالطرق الشرعية
- صرف الريع على الجهات المستحقة
- تقديم حساب سنوي للوزارة
- عدم التصرف في الوقف إلا بإذن من الوزارة",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
43,15c1b4d2037c,قانون الأوقاف الأردني - المادة 15: صلاحيات المتولي,legal_reference,ar,official,waqf_law,manual,للمتولي إدارة الوقف وتأجير أعيانه واستثمارها بما يحقق مصلحة الوقف، وله أن يقاضي ويقاضى باسم الوقف.,"العنوان: قانون الأوقاف الأردني - المادة 15: صلاحيات المتولي
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: للمتولي إدارة الوقف وتأجير أعيانه واستثمارها بما يحقق مصلحة الوقف، وله أن يقاضي ويقاضى باسم الوقف.",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
44,2a98ed1cb9ac,قانون الأوقاف الأردني - المادة 20: الإشراف على الأوقاف,legal_reference,ar,official,waqf_law,manual,تشرف وزارة الأوقاف على جميع الأوقاف الخيرية والذرية، ولها حق الرقابة والتفتيش على أعمال المتولين.,"العنوان: قانون الأوقاف الأردني - المادة 20: الإشراف على الأوقاف
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: تشرف وزارة الأوقاف على جميع الأوقاف الخيرية والذرية، ولها حق الرقابة والتفتيش على أعمال المتولين.",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
45,9e8c3e05093d,قانون الأوقاف الأردني - المادة 2: تعريف الوقف الخيري,legal_reference,ar,official,waqf_law,manual,الوقف الخيري هو ما وقف على جهة بر وخير ابتداءً كالمساجد والمدارس والمستشفيات ودور الأيتام.,"العنوان: قانون الأوقاف الأردني - المادة 2: تعريف الوقف الخيري
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: الوقف الخيري هو ما وقف على جهة بر وخير ابتداءً كالمساجد والمدارس والمستشفيات ودور الأيتام.",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
46,606553700800,قانون الأوقاف الأردني - المادة 3: الوقف الذري,legal_reference,ar,official,waqf_law,manual,الوقف الذري هو ما وقف على الذرية ابتداءً ثم على جهة بر وخير انتهاءً.,"العنوان: قانون الأوقاف الأردني - المادة 3: الوقف الذري
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: الوقف الذري هو ما وقف على الذرية ابتداءً ثم على جهة بر وخير انتهاءً.",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
47,d826bc0b411d,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,legal_reference,ar,official,waqf_law,manual,"المادة 1: تعاريف

في هذا القانون، يكون للكلمات والعبارات التالية المعاني المخصصة لها أدناه ما لم تدل القرينة على خلاف ذلك:

الوزارة: وزارة الأوقاف والشؤون والمقدسات الإسلامية
الوزير: وزير الأوقاف والشؤون والمقدسات الإسلامية
الوقف: حبس العين عن تمليكها لأحد من العباد والتصدق بالمنفعة على الفقراء أو على وجه من وجوه الخير
الوقف الخيري: ما وقف على جهة بر عامة كالفقراء والمساجد والمدارس
الوقف الذري: ما وقف على الذرية والأولاد
الناظر: من يتولى إدارة الوقف والإشراف عليه
المتولي: من يتولى إدارة الوقف الذري
الريع: الدخل الناتج عن الوقف","العنوان: قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف
المصدر: قانون الأوقاف الأردني رقم 23 لسنة 1964
ملخص/مقتطف مسترد: المادة 1: تعاريف

في هذا القانون، يكون للكلمات والعبارات التالية المعاني المخصصة لها أدناه ما لم تدل القرينة على خلاف ذلك:

الوزارة: وزارة الأوقاف والشؤون والمقدسات الإسلامية
الوزير: وزير الأوقاف والشؤون والمقدسات الإسلامية
الوقف: حبس العين عن تمليكها لأحد من العباد والتصدق بالمنفعة على الفقراء أو على وجه من وجوه الخير
الوقف الخيري: ما وقف على جهة بر عامة كالفقراء والمساجد والمدارس
الوقف الذري: ما وقف على الذرية والأولاد
الناظر: من يتولى إدارة الوقف والإشراف عليه
المتولي: من يتولى إدارة الوقف الذري
الريع: الدخل الناتج عن الوقف",law,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
48,b8482acdea7c,قانون الأوقاف الفلسطيني رقم 2 لسنة 2014,legal_reference,ar,official,waqf_law,manual,"قانون الأوقاف الفلسطيني رقم 2 لسنة 2014 هو القانون المنظم للأوقاف في فلسطين، صدر عن السلطة الوطنية الفلسطينية. يُعد هذا القانون من أهم التشريعات القانونية المتعلقة بالأوقاف في فلسطين.

يتكون القانون من 52 مادة موزعة على عدة فصول، تشمل: التعاريف والأحكام العامة، أنواع الأوقاف، شروط الوقف وأركانه، إدارة الأوقاف، صلاحيات وزارة الأوقاف، نظارة الأوقاف، استثمار الأوقاف، استبدال الأوقاف، حماية الأوقاف، والعقوبات.

من أهم ما ينظمه القانون:
1. تعريف الوقف: 'حبس العين على حكم ملك الله تعالى والتصدق بالمنفعة على جهة بر وخير'.
2. أنواع الوقف: الوقف الخيري (على جهات البر)، والوقف الذري (على الذرية ثم على ج","العنوان: قانون الأوقاف الفلسطيني رقم 2 لسنة 2014
المؤلف/الجهة: السلطة الوطنية الفلسطينية
السنة: 2014
ملخص/مقتطف مسترد: قانون الأوقاف الفلسطيني رقم 2 لسنة 2014 هو القانون المنظم للأوقاف في فلسطين، صدر عن السلطة الوطنية الفلسطينية. يُعد هذا القانون من أهم التشريعات القانونية المتعلقة بالأوقاف في فلسطين.

يتكون القانون من 52 مادة موزعة على عدة فصول، تشمل: التعاريف والأحكام العامة، أنواع الأوقاف، شروط الوقف وأركانه، إدارة الأوقاف، صلاحيات وزارة الأوقاف، نظارة الأوقاف، استثمار الأوقاف، استبدال الأوقاف، حماية الأوقاف، والعقوبات.

من أهم ما ينظمه القانون:
1. تعريف الوقف: 'حبس العين على حكم ملك الله تعالى والتصدق بالمنفعة على جهة بر وخير'.
2. أنواع الوقف: الوقف الخيري (على جهات البر)، والوقف الذري (على الذرية ثم على ج",law,,السلطة الوطنية الفلسطينية,2014,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
49,8793b3d2f821,قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م وتعديلاته,legal_reference,ar,official,waqf_law,external_fetch,"قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م هو القانون الأساسي الذي ينظم شؤون الأوقاف في فلسطين. صدر في عهد المملكة الأردنية الهاشمية ولا يزال ساري المفعول مع تعديلات حتى عام 2023.

أهم التعريفات:
- الأوقاف والشؤون الدينية: الأموال المنقولة أو غير المنقولة الموقوفة على جهة بر لا تنقطع ابتداء أو انتهاء، والمساجد وملحقاتها والمقامات ودور التكايا والزوايا والمقابر الإسلامية.

أهداف الوزارة:
1. المحافظة على المساجد وأموال الأوقاف وصيانتها وتنميتها وإدارة شؤونها
2. العناية بتطوير المسجد ليؤدي رسالته في مجالات التربية الإسلامية
3. إذكاء روح التضحية والجهاد والثبات في الأمة
4. تنمية الأخلاق الإ","العنوان: قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م وتعديلاته
المصدر: https://mjr.ogb.gov.ps/MergedLegislations/ViewText/165/
ملخص/مقتطف مسترد: قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م هو القانون الأساسي الذي ينظم شؤون الأوقاف في فلسطين. صدر في عهد المملكة الأردنية الهاشمية ولا يزال ساري المفعول مع تعديلات حتى عام 2023.

أهم التعريفات:
- الأوقاف والشؤون الدينية: الأموال المنقولة أو غير المنقولة الموقوفة على جهة بر لا تنقطع ابتداء أو انتهاء، والمساجد وملحقاتها والمقامات ودور التكايا والزوايا والمقابر الإسلامية.

أهداف الوزارة:
1. المحافظة على المساجد وأموال الأوقاف وصيانتها وتنميتها وإدارة شؤونها
2. العناية بتطوير المسجد ليؤدي رسالته في مجالات التربية الإسلامية
3. إذكاء روح التضحية والجهاد والثبات في الأمة
4. تنمية الأخلاق الإ",law,https://mjr.ogb.gov.ps/MergedLegislations/ViewText/165/,,,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,law;waqf_law;P1_LEGAL_PRIMARY_REFERENCE_REVIEW;old_db_recovered;kb05
